title,desc
Ikaw Naman ang Iiyak (1996),"Elaine killed her stepfather while trying to defend her boyfriend Santi. After serving in prison for years, she is now out to fight and try to bring back her life, including Santi who already married another woman."
Ang TV Movie: The Adarna Adventure (1996),"A fantasy story about a group of kids who are fond of listening to fairy tales, their favorite being ""Ang Ibong Adarna"", which they are able to live when they are mysteriously transported to the magic bird's home, the enchanting world of Berbanya. There they meet Prinsipe Juan and help him with his mission to save the land and cure his father, the King. This can only be accomplished if they can get hold of the magical and elusive bird, the Ibong Adarna, who is actually a princess under a curse."
Masamang Damo (1996),"When Joko Diaz placed his family in danger after getting into an imbroglio with fellow slum boys, he wisely contrived a plan."
Home Along da Riles 2 (1997),"Kevin (Dolphy) and his family suddenly find themselves prospective millionaires. What happens when they move into a bigger house and leave their real ""home along da riles""?"
"Papunta Ka Pa Lang, Pabalik Na Ako (1997)","This star-studded movie explicits the popular Filipino saying, """"Papunta ka pa lang, pabalik na ako"""". Eddie Garcia, Joko Diaz, Gloria Diaz, Jennifer Sevilla and Glydel Mercado complete the cast of this 1997 movie."
Wala Nang Iibigin Pang Iba (1997),"Sarah, an archaeologist and museum curator, is good at recovering and restoring treasures. One day, a very important treasure map is stolen from the museum, but the map is in Latin and the guys who seized it cannot read it."
Iskalawag: Ang Batas Ay Batas (1997),An Filipino action police film directed by Francis Posadas .
Computer Kombat (1997),"In the human world, Pen (SPENCER REYES) and Dong are best friends who are fond of playing computer games. on the other hand, at the computer world where the different computer characters live, there is one character in the name of M. Tyson (REZ CORTEZ) who was mad and envy to human."
Hari Ng Yabang (1997),"Driven with ambition and handsome looks, Edelbert is very optimistic to marry a rich girl. He pursues other women in their province, not minding his neighbor Elena who is in love with him but is not rich. One day, Elena accidentally overhears Adelbert that she is not the girl for him because of her status. Hurt, Elena leaves town. Soon after, Edelbert realizes Elena is important to him and started looking for her."
Lahar: Paraisong Abo (1997),"In the aftermath of the eruption of Mount Pinatubo, a volcano dormant for more than 400 years, the residents of the whole town of San Simon in Pampanga was engulfed by dust and thick mudflow called lahar. The whole surviving residents of the devastated community are relocated to transitional evacuation center, a tent city, where different and unique personalities meet: Sheila, a migrant worker from Germany who is struggling to keep her family intact at all costs; Sonia who is looking for her missing husband while pretending as a handicapped so she can beg on the streets; Ditas, who returns in Pampanga after getting pregnant in Manila; and Elena, a mother who lost her whole family in the eruption, yet she keeps a positive outlook in life that as long as she remembers her relatives no amount of tragedy could keep her from reminiscing of their once peaceful lives."
Martial Law (1997),"""Batas Militar"" is a definitive documentary about martial law under the dictatorship of former President Ferdinand Marcos in the Philippines."
Kokey (1997),"On their way home, Bong and Anna discover Kokey, an extraterrestrial whose space ship explodes upon landing on earth. Without the knowledge of their parents, the children keep Kokey at home. The three soon become the best of friends with Kokey turning out to be a big help to the family and their business, attracting customers using his extraterrestrial powers. But Kokey becomes homesick, pointing to the sky in silent tears, missing his parents. He tries to contact them but with no success. Will he ever be reunited to his family? How long can the children keep Kokey a secret?"
Mama Dito sa Aking Puso (1997),This is an adaptation of the Palanca award-winning play written by Maria Angela Barrios about a mother and her Amerasian daughter.
"Honey, Nasa Langit na ba Ako? (1998)","True love happens between Noel and Marian, only to have calamity strike at the most inopportune moment. When the bride to be dies in a car accident going the rehearsal, Noel is heart broken. Not expecting such misfortune, what will he do? All along, his co-worker Winnie has strong feelings for him. Will she be able to mend Noel's broken heart, or can Marian help turn misfortune in to bliss as a ghost. Will Noel ever find true love?"
Tornado Jack (1998),"A martial artist finds himself transported to another world where he must battle monsters, evil wizards, zombies, and other threats. Can he save everyone and get back to Earth?"
Tong Tatlong Tatay Kong Pakitong Kitong (1998),"Orphan Jingle can't seem to find a home for herself. Hopeless with the situation, she is sent to Manila to live with three bachelors who are still awaiting their big break. When the trio accidentally pick up a bag of jewels that belong to a crime syndicate, Jingle's life is put in danger in exchange of the jewels. - Written by ledster"
Dahil Mahal na Mahal Kita (1998),"A straight-laced student and the campus bad girl shock the people around them with news that they are dating. But when misunderstandings and arguments come their way, they realize that it takes more than physical attraction to achieve lasting love."
Labs Kita...Okey Ka Lang? (1998),"Bujoy and Ned are childhood best friends. They stick with each other like a family. However, as time goes by Bujoy fell in love with Ned, who she thinks is the only person who accepts her imperfections that even her own family does not accept. Bujoy’s hobby which is clay sculpture is all dedicated for Ned. Ned, on the other hand finds inspiration in songwriting, to which he dedicates to the girl of his dreams, Marry Anne. Ned inherited his passion for music from his father Canor, who is a frustrated musician. However his mother Cora thinks that music will not help with their financial constraints. As Ned and Marry Anne became a couple, Bujoy started going out with Cenon, the newest member of Ned’s band."
Hiling (1998),"Anna is an ordinary girl who receives an extraordinary birthday gift from a mysterious old woman. Anna discovered that she has given the power to grant any kind of wishes through touching. However, Anna could not do anything to grant her own wishes. She made Trinket’s family rich, who used to get ridiculed by the neighbourhood because of their debts. She also touches a gay who desires to become a real woman. She also touched her hopeless romantic friend Elwood who eventually became the chick magnet of their neighbourhood. She also helped a morose middle-aged woman grow plants that would eventually choke anyone who came across the old lady’s house. She also granted the children’s wish to have a swimming pool on a vacant lot that would cause trouble to the whole people in their community; and a lot, lot more wishes. Anna granted all of her neighbour’s wishes and even the most impossible ones."
Still Lives (1999),"An intriguing look into a world of drugs and crime, dynamically moves through the lives of the different characters – the drug lord Enteng, his minions, the police, and customers."
Wansapanataym: The Movie (1999),"The story is about an orphan named Anna who searched for her long-lost father. With the guardian angel Barbiel's help, Anna was able to see the latter's father even for a moment."
Isusumbong Kita sa Tatay Ko (1999),"Badong (FPJ) is an auto repair shop owner and a doting father to Joey (Judy Ann Santos), his pretty but tomboyish daugther. The protective father that he is, Badong disheartens every young man who tries to woo Joey.The real test in their father-daugther relationship comes when Badong meets and falls in love with a beautiful doctor. Thinking that she is losing her father's love to another woman, Joey agrees to go out with her boastful suitor to spite Badong."
